[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 13.107.5.93:443 -> 10.184.0.59:53538
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 13.107.5.93:443 -> 10.184.0.59:53538
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 13.107.5.93:443 -> 10.184.0.59:53538
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53538 -> 13.107.5.93:443
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 13.107.5.93:443 -> 10.184.0.59:53538
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 13.107.5.93:443 -> 10.184.0.59:53538
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53538 -> 13.107.5.93:443
[15:48:50] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:62595
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53591
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53592
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53591 -> 20.189.172.33:443
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53592 -> 20.189.172.33:443
[15:48:50] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:63314
[15:48:50] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:56077
[15:48:50] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:61278
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53591 -> 20.189.172.33:443
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53592 -> 20.189.172.33:443
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53594 -> 140.82.113.21:443
[15:48:51] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:51] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.113.21:443 -> 10.184.0.59:53594
[15:48:51] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.113.21:443 -> 10.184.0.59:53587
[15:48:51] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:51] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.112.21:443 -> 10.184.0.59:53588
[15:48:51] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53591 -> 20.189.172.33:443
[15:48:51] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:51] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53592 -> 20.189.172.33:443
[15:48:51] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:51] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.112.21:443 -> 10.184.0.59:53580
[15:48:51] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53591
[15:48:51] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53592
[15:48:51] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53591 -> 20.189.172.33:443
[15:48:51] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53592 -> 20.189.172.33:443
[15:48:52] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.113.21:443 -> 10.184.0.59:53594
[15:48:52] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53591
[15:48:52] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53591 -> 20.189.172.33:443
[15:48:52] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53592
[15:48:52] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53592 -> 20.189.172.33:443
[15:48:52] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
